"texto""";;;;;;;;;;;;;;;
"""La familia Loricariidae agrupa un elevado número de especies (más de 800 especies) que viven en los ambientes de agua dulce de la región Neotropical. Dentro de la familia Loricariidae, la subfamilia Loricariinae está conformada por una extraordinaria diversidad de especies que la convierte en un excelente caso de estudio para analizar y discutir los cambios en la morfología externa e interna de las especies y relacionarlos con la evolución del grupo. A su vez, este análisis puede ayudar a proponer hipótesis filogenéticas que busquen dar respuesta a las causas que determinan la diversificación del grupo. En este trabajo se realizó un análisis de la morfología externa e interna de un importante número de especies de la subfamilia Loricariinae, para proponer una hipótesis filogenética de las mismas. El primer paso fue determinar las unidades naturales (especies) a ser evaluadas. Para ello se procedió a determinar con base en la morfología externa cuales son las especies que se pueden reconocer sin ambigüedades. Utilizando ejemplares colectados en Venezuela, depositados en varias colecciones nacionales, se determinó que en el país se encuentran 33 especies válidas, agrupadas en 22 géneros. Adicionalmente, se incluyeron especies y géneros provenientes de otros países (cuencas del Amazonas y Paraná-Paraguay-La Plata). El análisis efectuado sobre la morfología externa determinó que, utilizando la morfología bucal, es posible identificar los géneros pertenecientes al grupo “Loricariini”. Para obtener una hipótesis de relaciones filogenéticas se realizó un análisis numérico filogenético utilizando características presentes en el sistema osteológico, en la rama preopérculo mandibular de la línea lateral cefálica y algunas características morfológicas externas. Los resultados obtenidos confirman la condición monofilética de la subfamilia Loricariinae. La existencia de un grupo bien definido, dentro de la subfamilia, denominado grupo “Loricariini” que constituye una unidad monofilética más incluyente. Adicionalmente, se pudo establecer la presencia de uno o dos grupos adicionales con un bajo soporte, dentro de la subfamilia. Este resultado indica que es necesaria la reevaluación de todas las especies que potencialmente pueden ser incluidas en los grupos con bajo soporte. Buena parte de las sinapomorfías de la subfamilia Loricariinae están relacionadas con el cambio en la forma del pedúnculo caudal (muy deprimido).";El resto de lo;s clados;que;est;án bien soportados muestra;n sina;po;morfías;relaci;onad;as con;la dieta y;con;una;"condición más deprimida de la región anterior del cuerpo."""
"""Estudios recientes han demostrado la estimulación de diferentes isoformas de la Ca2+-ATPasa de membrana plasmática (PMCA) por parte del etanol (EtOH) y de segundos mensajeros de origen lipídico, los cuales presentan en su estructura molecular un grupo hidroxilo libre, como el diacilglicerol (DAG) y la ceramida. Dicha estimulación ha sido estudiada, tanto en la enzima purificada como en fragmentos de membrana, observándose en todos los casos, aditividad con la estimulación inducida por la calmodulina (CaM), principal modulador de la PMCA. En la primera parte de este trabajo, nos propusimos profundizar en la caracterización del posible sitio de acción del EtOH y sugerir los potenciales mecanismos de acción del DAG y la ceramida, sobre la enzima. Trabajos previos realizados en el laboratorio permitieron establecer una región de interacción del EtOH con la PMCA situada en el extremo C-terminal de la enzima, cerca del dominio de unión de la CaM. Dicho resultado se obtuvo gracias a la sobreexpresión de formas truncadas de la PMCA4b de humanos. En este trabajo nos propusimos ahondar en el estudio del sitio de interacción descrito con la finalidad de acotar la región de interacción del EtOH con la enzima. Asimismo, nos propusimos caracterizar si la región de interacción del EtOH es la misma región involucrada para el DAG y la ceramida. Para ello, se expresó una forma truncada intermedia a las previamente utilizadas, como es la hPMCA4b Δ118, para estudiar el efecto del EtOH, el DAG y la ceramida en esta proteína. Nuestros, resultados nos permiten sugerir una región de 74 aa como el posible dominio de interacción del EtOH con la enzima. Así mismo, sugerir mecanismos de acción diferentes al del EtOH para el DAG y la ceramida, compuestos que estimularon todas las formas truncadas usadas en este trabajo y mostraron aditividad con el EtOH. La segunda parte de este trabajo estuvo dirigida a evidenciar de manera fisiológica, molecular, inmunológica y bioquímica las proteínas involucradas en la homeostasis de Ca2+ en Trypanosoma evansi y compararlas con las descritas en otros tripanosomatidios y en eucariotas superiores, con el fin de establecer posibles diferencias que puedan ser utilizadas como potenciales blancos para la generación de drogas tripanocidas. La suma de las diferentes aproximaciones experimentales utilizadas, nos permitieron sugerir en T. evansi, la presencia de tres Ca2+-ATPasa, las cuales presentan 10 dominios transmembrana y los";3 dominios car;acterís;tico;s pa;ra estas enzimas, de unión;a Ca2;+,;ATP y d;e fosfo;rila;ción.;Estas fuer;on i;dent;"ificadas como: Una Ca2+-ATPasa tipo PMCA, contentiva de un dominio no clásico de unión a CaM en el extremo C-terminal de la enzima, reconocida por anticuerpos monoclonales específicos para PMCA de Homo sapiens y de peso molecular similar al de sus homólogas en otros tripanosomatidios y eucariotas superiores. Una Ca2+-ATPasa tipo vacuolar, carente del dominio de unión a CaM y una Ca2+-ATPasa tipo SERCA, sensible a tapsigargina (Tg) y benzoquinonas (BHQ), la cual también es reconocida por anticuerpos específicos dirigidos contra SERCA de eucariotas superiores. Por otra parte, en este trabajo identificamos por primera vez en T. evansi, la presencia de canales de Ca2+ sensibles a 2APB, así como una secuencia aminoacídica que comparte homología con la subunidad α de canales de Ca2+ voltaje dependiente. Los resultados obtenidos en esta parte de nuestro trabajo, permiten establecer un modelo con los principales mecanismos de regulación de los niveles de Ca2+ intracelular en T. evansi, así como establecer diferencias entre los mecanismos reportados para otros tripanosomatidios y eucariotas superiores."""
"""El hongo fitopatógeno Rhizoctonia solani, ha causado graves daños en el cultivo de maíz, siendo una de las formas de controlarlo, el uso del hongo Trichoderma spp. El presente trabajo contempla el estudio de la diversidad de Trichoderma spp en plantaciones de maíz de Venezuela y su capacidad biocontroladora sobre R. solani. A partir de muestras de suelo de campos de maíz se procedió a aislar cepas de Trichoderma spp. La identificación de las especies de Trichoderma se realizó analizando las secuencias de los espaciadores transcritos internos del DNA ribosomal (ITS1 y 2) y el factor de elongación de la traducción 1a (tef1) con los programas TrichOKEY, TrichoMARK y TrichoBLAST (www.isth.info). La capacidad biocontroladora se evaluó en cultivos duales en medio sólido, líquido, crecimiento en suelo y vivero. La diversidad de Trichoderma fue baja en comparación con la reportada en otras localidades del mundo, siendo de 9 especies distintas de 176 aislados totales. Las especies encontradas fueron: T. asperellum, T. atroviride, T. erinaceum, T. harzianum, T. koningiopsis, T. pleurotum, T. reesei, T. spirale y T. virens. T. harzianum  fue la más abundante. La mayor capacidad de biocontrol fue obtenida con las cepas TV21 (T. hazianum), TV118 (T. virens) y TV190 (T. asperellum), con concordancia entre los resultados in vitro y vivero. Se propone el cálculo del Índice de Capacidad Biocontroladora (ICB) para predecir la capacidad de biocontrol de las cepas de Trichoderma spp.""";;;;;;;;;;;;;;;
"""sin info""";;;;;;;;;;;;;;;
"""La aplicación de la calibración multivariada (CM) en el área de la química analítica, ha marcado un precedente en el análisis multi-componente de muestras complejas. Mediante esta calibración, es posible interpretar la información multivariable suministrada por diversos análisis químicos y concentrarla en un pequeño número de variables latentes (componentes principales) que contienen la información química de mayor relevancia. Esto ha permitido utilizar técnicas de espectros completos, tales como espectroscopia de infrarrojo y de absorción y fluorescencia molecular en la determinación cuantitativa de un elevado número de compuestos en una amplia diversidad de muestras, ya sea mediante análisis simultáneo o en presencia de otras especies interferentes. En este sentido, en este trabajo se planteó el uso de modelos de CM mediante algoritmos de mínimos cuadrados parciales PLS en la cuantificación simultánea de analitos orgánicos en muestras de agua, mediante fluorescencia molecular. En una primera etapa del estudio, se realizó la determinación simultánea semi-cuantitativa de dos hidrocarburos aromáticos poli-cíclicos (HAPs): antraceno (Ant) y pireno (Pir) en muestras de agua potable. Para la determinación de los HAPs se utilizaron tres configuraciones experimentales: a) un láser pulsado Nd-YAG a 355nm (sistema 1) y b) una lámpara de arco de xenón (sistema 2). En ambos casos se registro la señal analítica mediante un detector simultáneo CCD. En la tercera configuración experimental se modificó el sistema de detección de la fluorescencia inducida por láser (LIFs), empleando un sistema de integración boxcar junto con un detector de respuesta rápida (sistema 3). Para los tres sistemas de medidas, fueron evaluadas las propiedades fluorescentes de los HAPs en diferentes medios de disolución: medio orgánico, medio acuoso y medio micelar. En el sistema 1, se escogió el medio micelar y en el sistema 2 la determinación de los analitos se realizó en medio orgánicoDiferentes estrategias fueron utilizadas para la construcción de los conjuntos de calibración y validación empleados en la CM. Se utilizaron diseños multinivel: diseño factorial 52, matriz de doehlert y planteamiento de conjuntos de calibración simplificados, formado por un pequeño número de muestras. En los conjuntos anteriores, fueron aplicados los algoritmos de calibración multivariante con regresión de mínimos cuadrados parciales (PLS): PLS1 y PLS2. El a";juste de ambos;modelos;de c;alib;ración y la capacidad pred;ictiva;d;e estos,;se eva;luó;media;nte validac;ión;cru;zada interna y validación externa. Los resultados obtenidos por validación externa indican que la matriz de Doehlert resultó ser un diseño de calibración más eficiente que el diseño factorial para realizar la determinación de antraceno y pireno en medio micelar por CM. Por otro lado, los mejores valores del error de predicción relativo (RRMSEP) : del 5% para el antraceno y 6% para el pireno, fueron obtenidos cuando se utilizó un conjunto de calibración y validación simplificado. Se demuestra entonces que la construcción del modelo de calibración influye en la eficiencia del modelo PLS, en este estudio se obtiene una predicción satisfactoria de los analitos por validación externa sin requerir el uso de un elevado número de estándares de calibración. La aplicación de los modelos PLS1 y PLS2, permitió la determinación semicuantitativa de antraceno y pireno en presencia de la matriz de compuestos inorgánicos de muestras de agua potable, sin separación previa de los analitos. Se analizaron cuatro muestras, con el modelo PLS1, se obtienen porcentajes de recuperación entre el 88 y el 112 % del antraceno y del 88 y 75% para el pireno. En el modelo PLS2, la recuperación del antraceno varía del 117% al 84% y la del pireno va desde el 98 al 49%, indicando este último valor una poca capacidad predictiva respecto a esta muestra.En una segunda etapa de este trabajo de investigación, se desarrollo la determinación selectiva de la Clo “a” en sistemas acuáticos. En una primera fase experimental se utilizó la técnica de fluorescencia molecular y en una segunda fase la cromatografía líquida de alta resolución (HPLC). Inicialmente fueron ensayados dos procedimientos de extracción de pigmentos: a) método 1F-0,45 y b) método SPE C-18
"""La 6-fosfogluconato deshidrogenasa (6-PGDH) es la tercera enzima de la ruta de las pentosas fosfato y ha mostrado ser esencial en la generación del poder reductor en forma de Nicotinamida Adenina Dinucleotido Fosfato (NADPH) que protege al parásito contra estrés oxidativo";;;;;;;;;;;;;;;
"""Presence of metals as Vanadium and Niquel in crude has negative effects on refining processes. Both Ni and V cause severe deactivation of catalysts used in catalytic cracking systems and impact in negative form the oil industry. In addition, the study of the chemical structure, either organic or inorganic in which these metals are present in the crude has generated a great controversy and the interest  to know their structure, composition and location within a complex, matrix is of great importance to find a method to allow separation and study in a simple way. Therefore, selective removal of these metal contaminants from heavy crudes is highly desirable. In this work, we propose a methodology based in fractionation of crude by adsorption in chromatography column, a posterior characterization and study the size distribution of the vanadium compounds and nickel by GPC-ICP. The discrimination in size could help to improve the efficience in the separation methodology. This information is important in order to develop procedures for the removal of these compounds in crude oil. Thin Layer Chromatography (TLC) was used to generate a connection between the subfractions obtained by separation methodology and asphaltene content in the subfractions. Identification of metalloporphyrins was followed by UV-visible spectroscopy. New method for separating components of crude and asphaltene is introduced, by studying the adsorption of the subfractions in nanoparticles (NPs). For this, SiO2 NPs were synthesized by the Stober method and the NPs were modified in order to improve the adsorption process. This adsorption was monitored by UV-Visible spectrometry and a more detailed analysis by GPC-ICP-MS.           La presencia de metales en el crudo tiene efectos negativos en los procesos de refinación y mejoramiento. Tanto Ni como V causan la desactivación severa de muchos catalizadores heterogéneos usados en los sistemas de craqueo catalítico y a su vez esto produce un fuerte impacto económico y contaminante en la industria petrolera. Además de ello, el estudio de la estructura química, ya sea orgánica o inorgánica, en que estos metales están presentes en el crudo ha generado controversia y es de gran interés para los investigadores, ya que conociendo su estructura, su composición y ubicación dentro de una matriz tan compleja, permitiría su separación y estudio de una manera sencilla. Por lo tanto, la eliminación selectiva de estos contaminantes metálicos a partir";de crudos pesa;dos es a;ltam;ente;deseable. En este trabajo,;se pr;op;one real;izar un;fra;cciona;miento de c;rudo;por;"cromatografía de adsorción en columna para obtener matrices más simples y posteriormente con estas, hacer una caracterización y estudiar la distribución y el tamaño de los compuestos de vanadio y níquel por GPC-ICP-MS en donde se consideran las implicaciones que estas especies químicas pueden tener sobre las perspectivas de nuevos métodos de separación. Esta información es importante con el fin de desarrollar procedimientos para la eliminación de estos en el crudo. Además de esto, la TLC permite generar una conexión entre las subfracciones obtenidas por la metodología de separación planteada y las facciones SARA. Se utilizó como técnica de identificación de metaloporfirinas la espectroscopia de UV-Visible. Por otra parte se propone una metodología innovadora para la separación de los componentes de los asfaltenos y crudo, mediante el estudio de la adsorción en nanopartículas (NPs). Para esto, se sintetizaron NPs de SiO2 por el método de Stober y estas se modificaron con la finalidad de mejorar el proceso de adsorción. Esta adsorción se siguió por espectrometría de UV- Visible y un análisis más detallado para las moléculas que contienen S y V fue realizado por GPC-ICP-MS."""
"""En el presente trabajo se estudia la reactividad de complejos de hierro y rutenio con los ligandos polidentados de nitrógeno y fósforo: 1,4,7-trimetil-1,4,7-triazaciclononano (Me3TACN),  bis(2-difenilfosfinoetil)fenilfosfina (TRIPHOS-I), 1,1,1-tris(difenilfosfinometil)etano (TRIPHOS-II) y tris[2-difenilfosfino)etil]fosfina (TETRAPHOS) frente a los ligandos piridínicos conjugados: trans-1,2-bis(4-piridil)etileno (TBPE), 1,2-bis(4-piridil)acetileno (BPA) y 1,4-bis(4-piridil)-bis(acetileno) (BPBA) y el agregado carbonílico [Os3(CO)10(CH3CN)2] con el fin de obtener sistemas moleculares estructurados que sean potencialmente activos en óptica no Lineal. Las reacciones entre los ligandos polidentados de nitrógeno y fosforo frente a los centros metálicos de hierro y rutenio se llevaron a cabo en diferentes condiciones de reacción y bajo atmosfera de argón o nitrógeno. De igual manera, se llevaron a cabo las reacciones para el estudio de reactividad frente a los ligandos piridina conjugadas y el agregado carbonílico. Los complejos obtenidos fueron caracterizados por Espectroscopia Infrarrojo por Transformada de Fourier (IRTF), Espectrometría de Masas (e/z) y en aquellos casos donde las características de los complejos obtenidos lo permitían se evaluó la Resonancia Magnética Nuclear de 1H y 31P. Inicialmente se sintetizaron los complejos de coordinación de hierro y rutenio con los ligandos polidentados de nitrógeno y fósforo, para  el caso de hierro en todos los casos  se observó  la tendencia a formar especies dinucleares con puentes de cloro (µ-Cl)3, mientras que los complejos de rutenio mostraron un comportamiento diferente, el cual dependía de la naturaleza del ligando polidentado, encontrando que las  fosfinas tridentadas bis(2-difenilfosfinoetil)fenilfosfina (TRIPHOS-I) y 1,1,1-tris(difenilfosfinometil)etano (TRIPHOS-II), la tendencia a formar especies dinucleares, mientras que los ligando fosfina tetradentada TETRAPHOS y tipo corona de nitrógeno tridentada Me3TACN generan especies mononucleares. Por otra parte, al evaluar la reactividad de los complejos obtenidos frente a los ligandos piridínicos conjugados, se observa, que para los complejos de hierro que tienen  las fosfinas tridentadas TRIPHOS-I y TRIPHOS-II se generan complejos mononucleares frente al 1,2-bis(4-piridil)acetileno BPA, mientras que para el caso del complejo con 1,4,7-trimetil-1,4,7-triazaciclononano Me3TACN frente a la piridina trans-1,2-bis(4-piridil)etileno TBPE se gene";ra un sistema d;inuclear;con;pue;nte piridínico conjugado.;En el;ca;so de ru;tenio,;el e;studio;de reactiv;idad;fre;"nte a las piridinas conjugadas mostró un comportamiento único, obteniendo en todos los casos especies dinucleares con puente piridínico conjugado. Finalmente, se evaluó la reactividad de las especies mononucleares de hierro con el agregado carbonílico de osmio, en la búsqueda del sistema estructurado, sin embargo para las condiciones de reacción estudiadas  mostró inactividad química, ya que en ninguno de los casos hubo coordinación ni por el grupo piridínico como por la región insaturada. En síntesis, se puede establecer que los complejos de rutenio dieron como productos sistemas moleculares estructurados con posibilidad de transferencia de carga, y por ende, potencialmente activos en óptica no lineal, mientras que entre los complejos de hierro se observó una mayor diversificación, donde sólo el derivado del ligando corona de nitrógeno resultó en un sistema molecular estructurado potencialmente activo en óptica no lineal. In this thesis we study the reactivity of iron and ruthenium complexes with polydentate nitrogen and phosphorus ligands: 1,4,7-trimethyl-1,4,7-triazacyclononane (Me3TACN), bis (2-diphenylphosphinoethyl)phenylphosphine (TRIPHOS-I) 1,1,1-tris(diphenylphosphinomethyl) ethane (TRIPHOS-II) and tris[2-diphenylphosphino)ethyl]phosphine (TETRAPHOS) pyridine ligands against conjugates: trans-1,2-bis(4-pyridyl)ethylene (TBPE), 1,2-bis(4-pyridyl)acetylene (BPA) and 1,4-bis(4-pyridyl)bis(acetylene) (BPBA) and added bis(acetonitrile)triosmium decacarbonyl [Os3(CO)10(CH3CN)2] in order to Obtain structured molecular That Are Potentially active systems in non-linear optics. Reactions Between polydentate nitrogen and phosphorus ligands with iron and ruthenium metal centers of are Carried out at different reaction conditions under an argon or nitrogen atmosphere. In the same way, the reactivity of conjugated pyridine and carbonyl ligands were Formed Studied All complexes were Characterized by Fourier Transform Infrared (IRFT) spectroscopy mass spectrometry (e/z) and in cases where the characteristics of the complexes it allowed obtained by Nuclear Magnetic Resonance 1H and 31P. Initially synthesized coordination complexes of iron and ruthenium polydentate ligands with nitrogen and phosphorus, in the case of iron in all cases there was a tendency to form bridged dinuclear species of chlorine (μ-Cl)3, while ruthenium complexes showed a different behavior, which depended on the nature of the polydentate ligand, tridentate phosphines found that bis (2-diphenylphosphinoethyl) phenylphosphine (TRIPHOS-I) and 1,1,1-tris (diphenylphosphinomethyl) ethane (TRIPHOS -II), the tendency to form dinuclear species, while tetra-dentate phosphine ligand tris [2-diphenylphosphino) ethyl] phosphine (TETRAPHOS) and tridentate nitrogen corona 1,4,7-trimethyl-1,4,7-triazacyclononane (Me3TACN) generate mononuclear species. Moreover, to evaluate the reactivity of the complexes obtained against conjugated pyridine ligands is observed that for the iron complexes with tridentate phosphines TRIPHOS-I and-II TRIPHOS mononuclear complexes are generated from 1,2-bis(4-pyridyl)acetylene (BPA), while for the case of complex with 1,4,7-trimethyl-1,4,7-triazacyclononane (Me3TACN) versus pyridine trans-1,2-bis(4-pyridyl)ethylene (TBPE) system is generated pyridine bridged dinuclear conjugate. In the case of ruthenium, the study of reactivity to conjugated pyridines showed a unique behavior, obtaining in all cases conjugated pyridine bridged dinuclear species. Finally, we assessed the reactivity of the iron species with mononuclear osmium carbonyl added in search of a structured system, however for the reaction conditions studied showed chemical inertness, since in neither case was the coordination or pyridine group as unsaturated region.  In summary, we can state that the ruthenium complexes led to molecular structured systems with the possibility of charge transfer, and therefore are potentially active in nonlinear optics, while the iron complexes showed greater diversification and only nitrogen crown resulted in a structured molecular derivative system potentially active for nonlinear optics"""
"""La degradación de los compuestos orgánicos clorados, por la vía de la hidrodeclorinación catalítica, representa una buena alternativa para la destrucción segura de estos materiales tóxicos y persistentes. Entre los materiales más versátiles para llevar a cabo esta reacción se encuentran los carburos de molibdeno, más aun cuando han sido sometidos a un tratamiento de presulfuración. En la presente tesis doctoral se realizó una simulación molecular de la reacción de hidrodesclorinación catalítica (HDC) de bifenilos policlorados (BPCs), empleando clorobenceno como sustrato prototipo de BPCs, sobre modelos periódicos de superficies de carburos de molibdeno, sulfurados y sin sulfurar. La simulación molecular se realizó utilizando programas de cálculos basados en la Teoría Funcional de la Densidad (DFT). Y el estudio mecanístico se realizó con la metodología de búsqueda de Estado de Transición. Las superficies de carburo de molibdeno empleadas fueron de estequiometria Mo2C";;;;;;;;;;;;;;;
",""Se caracterizó la estabilidad de un conjunto de nanoemulsiones y macroemulsiones dodecano/agua con 5% de dodecil sulfato de sodio y 3,3% de isopentanol a diferentes concentraciones de sal (2-10% NaCl) de acuerdo a tasas de ocurrencia de los fenómenos de desestabilización y sus tiempos característicos. Las emulsiones fueron representadas en un mapa de formulación-composición. Se realizaron medidas experimentales del efecto de la gravedad, la variación del radio cúbico promedio y la turbidez en función del tiempo. A partir de los datos de evolución de tamaño, se estimó la variación del número total de agregados en función del tiempo a partir de la cual, se ajustaron los modelos teóricos de Smoluchowski (Smoluchowski, 1917), floculación-coalescencia (Urbina-Villalba et al., 2005) y una nueva modificación del modelo propuesto por Yang para la ruptura de gotas (Yang et al., 2012) que toma en cuenta el proceso de  coalescencia. Se estableció una nueva metodología teórico-experimental para la determinación de las constantes de agregación de emulsiones concentradas a partir de medidas de la evolución de la turbidez en el tiempo. Con las tasas de agregación, se realizaron predicciones del radio promedio en el tiempo considerando la floculación, la coalescencia y la maduración de Ostwald. Para incluir este último proceso, se debió corregir la expresión de la teoría clásica de LSW para tomar en cuenta el radio promedio real de una emulsión que coalesce. Estas predicciones mostraron que los procesos de floculación y coalescencia fueron predominantes en la mayoría de las emulsiones. Las medidas basadas en la influencia de la gravedad no mostraron diferencias significativas de estabilidad entre nano- y macro-emulsiones. Al evaluar los tiempos característicos, se encontró que las macroemulsiones fueron –en general- más estables que las nanoemulsiones, debido básicamente a la diferencia de densidad de partículas entre ambos sistemas. The stability of a set of dodecane/water nanoemulsions and macroemulsions with 5% of sodium dodecil sulphate and 3.3 % of isopentanol at different salt concentrations (2-10% NaCl) was studied, with emphasis in the rates of occurrence of different phenomena of destabilization and in their characteristic times. Emulsions were represented within a formulation-composition map. Experimental measurements of the effect of gravity, the rate of change of the average radius, and the variation of the turbidity as a";function of tim;e were e;ndea;vore;d. From the size of the dro;ps, an;e;stimatio;n of th;e ch;ange o;f the total;num;ber;"of aggregates as a function of time was estimated. This allowed the fitting of the theoretical models of Smoluchowski (Smoluchowski, 1917), flocculation-coalescence (Urbina-Villalba et al., 2005) and a novel modification of the model proposed by Yang for the ruptura of droplets (Yang et al., 2012) in order to account the process of coalescence. A new theoretical and experimental methodology for determining the aggregation constants of concentrated emulsions based on the change of turbidity as a function of time was implemented. From the aggregation rates, predictions of the average radius as a function of time considering flocculation, coalescence, and Ostwald ripening were made. To include the latter process, the classical LSW expresion had to be corrected in order to account for the actual evolution of the average radius in a coalescing emulsion.  These predictions showed that flocculation and coalescence were predominant in most systems. Measurements based on the effect of gravity were similar for both nano- and macro-emulsions. By comparing the characteristic times of the dispersions, it was found that macroemulsions were –in general- more stable than nanoemulsions basically due to the difference in the particle density between both emulsions."""
